siteName,Title,Authors,Text,Link,Published_Date
nytimes,A Desperate Exodus From ISIS’s Final Village,"['Written By', 'Photographs By']","She said that she had been a committed citizen of the caliphate, but that hunger had forced her to surrender. For weeks, she said, she and her daughters subsisted on animal feed. Another woman spoke of scavenging for a plant that grows in the crevices between houses and in traffic circles, which she boiled and forced herself to eat.

The increasing peril that the Islamic State’s own families were subjected to was evident in the number of people who showed up every day with injuries.

One woman, her leg torn by shrapnel, was lifted from an arriving truck and held up as she hopped to the spot where other women were waiting to be screened. An older man collapsed on a mattress, suffering from a back injury. A woman in her 20s made it to the processing point, only to die soon after she arrived. Her family could do little beyond covering her with a blanket.

A schoolgirl from Turkey, the daughter of an Islamic State family, was sitting wrapped in a blanket, unable to stand because of her injuries from a mortar round. And a 6-year-old boy was rushed to a first aid station staffed by a group of recently arrived American aid workers.

“He’s not going to make it. His pulse is too low,” warned one of the paramedics, Jason Torlano of Yosemite, Calif., a member of an aid group called the Free Burma Rangers. The boy began trembling and whimpering in pain, straining from wounds to his head, arm and leg. The medics wrapped him in a heated blanket and tried to find a vein to start an IV drip, the bag of fluid taped to the hood of a Toyota Land Cruiser. “Hey, buddy,” the aid worker said, as the boy began to lose consciousness. “Stay with me.”

His mother stood nearby, repeatedly lifting the black fabric covering her face to wipe her eyes with a piece of Kleenex.

She said that she was from Aleppo and that her husband had been killed in an airstrike, but she denied being part of the Islamic State. Security forces from the Kurdish militia said that they considered her and the majority of the others who have arrived to be the wives and children of Islamic State members: Why else, they said, would a woman and a child who are not natives of the area make their way into an active war zone?",https://www.nytimes.com/2019/02/06/world/middleeast/isis-baghuz.html,2019-02-06 00:00:00
nytimes,Workers’ Activism Rises as China’s Economy Slows. Xi Aims to Rein Them In.,[],"As economic forecasts have turned more sober, Mr. Xi has sought to defuse tensions by urging companies to pay salaries for low-income workers on time. The State Council, China’s cabinet, says it wants to eliminate wage arrears by next year.

Labor protests in China are common, and to avoid protracted conflicts, local officials often put pressure on businesses to settle disputes. But companies may be more unwilling — or unable — to do so now as they struggle to find money.

Mr. Xi has expanded the party’s oversight of the All-China Federation of Trade Unions, the party-controlled organ that is supposed to mediate disputes for its more than 300 million members but often sides with management. He has also dismantled nonprofit labor advocacy groups, which in the past provided advice to workers and helped with collective bargaining.

In a crackdown in Shenzhen in late January, the authorities detained five veteran labor rights advocates and accused them of “disturbing public order,” a vague charge the party often uses against its critics.

Now, with no independent unions, courts or news outlets to turn to, some workers are resorting to extreme measures to settle disputes.

Wang Xiao, 33, a construction worker, grew tired of lobbying his bosses for more than $2,000 in unpaid wages for a project in the eastern province of Shandong. So last week he turned to social media, threatening to jump off the headquarters of the company overseeing the project.

“If I get to the roof of the building and make a scene, then the money will be given to me more quickly,” he said in an interview. (Mr. Wang did not carry out his threat.)",https://www.nytimes.com/2019/02/06/world/asia/china-workers-protests.html,2019-02-06 00:00:00
nytimes,Fourth Woman in 48 Hours Accuses Nobel Laureate of Sexual Misconduct,[],"Eleonora Antillón had kept her secret bottled up for more than 30 years.

But when she read an article on social media on Tuesday saying a woman had accused Óscar Arias Sánchez, the former president of Costa Rica, of sexual assault, she did not hesitate: “From personal experience with him,” she wrote on the social media platform, “I BELIEVE her!!”

Ms. Antillón is among four women in a 48-hour period to accuse Mr. Arias, 78, of unprovoked and unwanted touching or sexual assault.

The allegations are a serious blow to the legacy of Mr. Arias, who won the Nobel Prize in 1987 for his effort to bring peace to Central America. Twice president of Costa Rica, he has been one of Latin America’s most respected figures.

Ms. Antillón, a former talk show host known by her nickname, Nono, said in an interview that Mr. Arias sexually assaulted her in 1986, when he was a presidential candidate and she was a young press aide.",https://www.nytimes.com/2019/02/06/world/americas/oscar-arias-sexual-assault-costa-rica.html,2019-02-06 00:00:00
nytimes,"Let Women Enter Hindu Temple, Indian Religious Board Says, in Reversal",[],"NEW DELHI — An Indian government board that had opposed allowing women to enter a Hindu temple changed its position on Wednesday, saying that women had the right to pray in the shrine.

For months, the centuries-old Sabarimala Temple, which sits on a hill in the southern state of Kerala, has been the site of violent protests and riots over whether women of childbearing age could set foot inside.

The drama has captivated India, encapsulating bigger issues of religious extremism, women’s rights and the rule of law.

Even with the religious board’s reversal, the controversy is far from over. The Supreme Court on Wednesday was hearing arguments — once again — about the status of the temple. Last year, the court ruled that women ages 10 to 50 had the right to visit the shrine, but religious groups had pleaded with judges to reconsider their decision.",https://www.nytimes.com/2019/02/06/world/asia/women-temple-hindu-india.html,2019-02-06 00:00:00
nytimes,Sexual Abuse of Nuns: A Longstanding Church Scandal Emerges From Shadows,[],"Karlijn Demasure, the former executive director of the church’s Center for Child Protection at the Pontifical Gregorian University, where she is a professor and expert in the sexual abuse of minors and vulnerable adults, said there is no data on how widespread the problem is. But, she added, anecdotal evidence suggests “it’s not exceptional.”

Many members of the church, experts said, suffer from a medieval mind-set and consider the priests who commit abuse against nuns to be the victims of seductive temptresses. Since the victims in these cases are adults, the experts say, there is also a reflexive tendency to blame them. The reductive public image of the nun as existing to serve the priest and to pray quietly also undercuts those who speak up.

Often, the abuse occurs in a relationship of spiritual guidance, Professor Demasure said, with the priest grooming the victim over time, as is often the case in cases of child sexual abuse.

The apparent preponderance of such abuse in Africa and India has led some in the church to chalk the abuse up to cultural differences.

In many cases, sexual favors have been required of nuns who are financially dependent on priests, and traditions of subservience by women make them vulnerable to abuse.

Ms. Scaraffia said she subscribed to the pope’s critique of abuse, that it is rooted in a rot in clerical culture that leads priests to believe they are a higher authority, and thus entitled to do what they want with their parishioners. In developing countries, where the abuse of nuns seems more prevalent, priests tend to be put on even higher pedestals.

Professor Demasure said there is also the delicate issue that female superiors have covered up the abuse of their nuns to protect the reputation of the church, just as bishops have done with pedophile priests.",https://www.nytimes.com/2019/02/06/world/europe/pope-francis-sexual-abuse-nuns.html,2019-02-06 00:00:00
nytimes,Revolt at American University Where Pompeo Addressed Middle East,[],"CAIRO — In a fiery speech at the American University in Cairo last month, Secretary of State Mike Pompeo sided with the autocrats who dominate the Middle East and played down the Arab Spring protests that upended the region in 2011.

This week that speech became the trigger for a revolt against the man who hosted it: Francis J. Ricciardone, the university’s president and a former American diplomat. Mr. Ricciardone faces an open challenge from academics at the university, one of the most prestigious in the Middle East, who are angered in part by his decision to give Mr. Pompeo an unchallenged platform.

On Tuesday, the university Senate voted overwhelmingly to declare no confidence in Mr. Ricciardone, a former United States ambassador to Egypt, Turkey and the Philippines and Palau. In a resolution, the academics said that they had lost faith in Mr. Ricciardone’s stewardship of the university and urged its New York-based board of trustees to immediately begin the search for a successor.

The academics said their grievances against Mr. Ricciardone, who has been the university’s leader since 2016, long predated Mr. Pompeo’s speech on Jan. 10. In a letter to Mr. Ricciardone, faculty members cited low morale, complaints about his management style, grievances over contracts and accusations of illegal discrimination.",https://www.nytimes.com/2019/02/06/world/middleeast/american-university-cairo-pompeo.html,2019-02-06 00:00:00
nytimes,"Theresa May Is Off to Brussels, but She’s Not Feeling the Love",[],"“I would be surprised if she gets anything out of the E.U. this week, apart from expressions of good will,” said Simon Fraser, former head of Britain’s foreign office, now managing partner at Flint Global, a consultancy.

Mr. Fraser predicted “another week or two of wheel-spinning, rather than forward propulsion.”

Mrs. May is expected to say that she wants urgently to work with the European Union to secure changes to a plan for Brexit — one that suffered a crushing 230-vote defeat in Britain’s 650-seat Parliament, leaving the whole process in limbo.

But that will require changes in the Irish backstop, designed to avoid customs checks on the border between Ireland and Northern Ireland. The Irish backstop plan is loathed by the hard-line supporters of Brexit whom Mr. Tusk excoriated, because it could keep the United Kingdom tied, indefinitely, to some European Union rules.

So Conservative lawmakers from different sides of the debate have spent three days negotiating a plan in London that they hope Mrs. May will press.

This so-called Malthouse Compromise could effectively mean Britain paying into the European Union until 2021 in order to smooth its exit, allowing it to negotiate a trade plan that would prevent the need for border checks in Ireland — or to prepare better for a no-deal exit.

So far European officials have shown no interest in that idea, or in others raised by Mrs. May, such as a time limit for the backstop or a unilateral exit mechanism. Both those concepts would invalidate the purpose of the backstop, they say.",https://www.nytimes.com/2019/02/06/world/europe/theresa-may-brexit-tusk-brussels-backstop.html,2019-02-06 00:00:00
nytimes,U.S. Envoy Arrives in North Korea to Prepare for 2nd Trump-Kim Summit,[],"SEOUL, South Korea — A senior American negotiator arrived in North Korea on Wednesday to sort out crucial details for a nuclear summit meeting in Vietnam between President Trump and the North’s leader, Kim Jong-un, with only three weeks to go before the talks take place.

Stephen Biegun, the Trump administration’s special representative for North Korea, arrived in Pyongyang, the North’s capital, around the time that Mr. Trump announced in his State of the Union address that he and Mr. Kim would meet for a second time on Feb. 27-28 in Vietnam. Mr. Beigun’s trip had been announced in advance.

When Mr. Kim and Mr. Trump first met in Singapore in June, they agreed to work toward the “complete denuclearization of the Korean Peninsula” and to build “new” relations between their countries. But since then, talks have stalled over how to carry out that vaguely worded agreement.

Mr. Trump now wants “significant and verifiable progress on denuclearization, actions that are bold and real,” Mr. Biegun said last week in a speech at Stanford University. But American intelligence agencies recently cautioned that the North was “unlikely to completely give up its nuclear weapons and production capability.”",https://www.nytimes.com/2019/02/06/world/asia/trump-kim-north-korea-summit.html,2019-02-06 00:00:00
nytimes,"With North Macedonia’s Inclusion, NATO Gets a Boost That Sends a Message",[],"BRUSSELS — The small European country now known as the Republic of North Macedonia may not seem like a significant addition to NATO. But it plugs another gap in what was once the former Soviet Union’s backyard, and comes at a time when East-West tensions are rising.

North Macedonia’s inclusion also means NATO will soon have 30 members, all committed to their collective defense. That is double what NATO’s membership was in 1991, when many experts thought the alliance would disband with the collapse of the Soviet Union and the Warsaw Pact.

On Wednesday, in a ceremony at NATO’s Brussels headquarters, member countries formally signed a letter of accession for North Macedonia, which should become a full member by year’s end.

Political analysts said the addition was a setback for President Vladimir V. Putin of Russia, who sees NATO as an expansionist military force on his country’s doorstep. Mr. Putin has for many years argued that NATO is no longer needed because, he says, Russia poses no threat.",https://www.nytimes.com/2019/02/06/world/europe/north-macedonia-nato-russia.html,2019-02-06 00:00:00
nytimes,Putin Warns That Russia Is Developing ‘Invincible’ Hypersonic Missiles,[],"MOSCOW — Alarmed by the Trump administration’s scrapping of a Cold War-era arms control treaty, President Vladimir V. Putin of Russia has ramped up warnings that his country is developing new hypersonic missiles that will travel at more than five times the speed of sound and will be “invincible.”

But while instructing his military to expand the launch platforms and sophistication of its rocket arsenal, Mr. Putin has also ordered Defense Minister Sergei K. Shoigu to stay within the limits of existing spending plans for 2019 and beyond.

“We must not and will not let ourselves be drawn into an expensive arms race,” Mr. Putin told Mr. Shoigu at a meeting over the weekend in the Kremlin, according to a transcript released by Moscow.

On Tuesday, Mr. Shoigu told military officers that Russia would, by the end of next year, develop a ground-based version of an air-launched hypersonic missile that has already been developed, and also create a land version of the Kalibr, an existing sea-launched cruise missile.",https://www.nytimes.com/2019/02/06/world/europe/russia-hypersonic-missiles.html,2019-02-06 00:00:00
